"Reference","Value","Footprint","LCSC"
"C1,C2,C3,C8,C11,C20,C23,C25,C27,C28,C31,C32,CU1","100nF","Capacitor_SMD:C_0805_2012Metric","C1711"
"C9,C26","10µF","Capacitor_SMD:C_0805_2012Metric","C7469956"
"C10","22µF","Capacitor_SMD:C_0805_2012Metric","C602037"
"C14,C15","47nF","Capacitor_SMD:C_0805_2012Metric","C53134"
"C16","4.7µF","Capacitor_SMD:C_0805_2012Metric","C98195"
"C17","1µF","Capacitor_SMD:C_0805_2012Metric","C1791"
"C18","22nF","Capacitor_SMD:C_0805_2012Metric","C1729"
"C19","150pF","Capacitor_SMD:C_0805_2012Metric","C2319426"
"C21","220µF","Capacitor_SMD:CP_Elec_8x10","C136294"
"C22","10nF","Capacitor_SMD:C_0805_2012Metric","C1710"
"C33","4.7uF","Capacitor_SMD:C_0805_2012Metric","C98195"
"C34","22uF","Capacitor_SMD:C_0805_2012Metric","C602037"
"D1","LED_Small","LED_SMD:LED_0805_2012Metric","C84260"
"F1","Polyfuse_Small","Fuse:Fuse_0805_2012Metric","C2840556"
"FB2,FB3","600Ω @ 100MHz","Resistor_SMD:R_0805_2012Metric","C21519"
"J1","JST-XH 3-pin","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",""
"J2","USB_C_Receptacle_USB2.0_16P","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","C2988369"
"J3","Conn_Coaxial","Connector_Coaxial:SMA_Amphenol_132289_EdgeMount","C20415780"
"J4","Video_Out","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"J5","AVR ICSP","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical",""
"J6,J7,J8,J9,J10","Conn_01x01","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical",""
"L1","2.2µH","Inductor_SMD:L_10.4x10.4_H4.8","C10164"
"L2","4.7uH","Inductor_SMD:L_10.4x10.4_H4.8","C19633496"
"Q1,Q2,Q3,Q4,Q5","AO3400A","Package_TO_SOT_SMD:SOT-23","C20917"
"Q6,Q7","IRLML6244","Package_TO_SOT_SMD:SOT-23","C5364311"
"R1","32K","Resistor_SMD:R_0805_2012Metric","C6460768"
"R2","100K","Resistor_SMD:R_0805_2012Metric","C441992"
"R3,R13,R14,R18,R19,R21,R22,R23","10K","Resistor_SMD:R_0805_2012Metric","C543567"
"R4,R5","5.1K","Resistor_SMD:R_0805_2012Metric","C491151"
"R6","1K","Resistor_SMD:R_0805_2012Metric","C844939"
"R7,R8","10m","Resistor_SMD:R_1206_3216Metric","C308574"
"R9","10R","Resistor_SMD:R_0805_2012Metric","C844598"
"R10","2.2K","Resistor_SMD:R_0805_2012Metric","C441982"
"R11","137K","Resistor_SMD:R_0805_2012Metric","C203741"
"R12","26.7K","Resistor_SMD:R_0805_2012Metric","C153307"
"R15","150","Resistor_SMD:R_0805_2012Metric","C2933324"
"R17","22R","Resistor_SMD:R_0805_2012Metric","C441970"
"R20","1К","Resistor_SMD:R_0805_2012Metric","C844939"
"SW1,SW2,SW3","SW_Push","Button_Switch_SMD:SW_SPST_PTS645Sx43SMTR92","C2834918"
"U1","HY2120-CB","Package_TO_SOT_SMD:SOT-23-6_Handsoldering","C116509"
"U2","TPS62175DQC","Package_SON:WSON-10-1EP_2x3mm_P0.5mm_EP0.84x2.4mm_ThermalVias","C32097"
"U3","BQ25703ARSNR","Package_DFN_QFN:Texas_RSN_WQFN-32-1EP_4x4mm_P0.4mm_EP2.8x2.8mm_ThermalVias","C188229"
"U4","RX5808","RF_Antenna:RX5808",""
"U5","ATmega328P-A","Package_QFP:TQFP-32_7x7mm_P0.8mm","C14877"
"U6","CP2102N-A02-GQFN28","Package_DFN_QFN:QFN-28-1EP_5x5mm_P0.5mm_EP3.1x3.1mm_ThermalVias","C964632"
"Y2","Crystal_GND24","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","C7275095"
