Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C2, C20, C23, C25, C27, C28, C3, C31, C32, C8, CU1",0805,13,100nF,C1711
C10,0805,1,22µF,C239256
"C14, C15",0805,2,47nF,C53134
C16,0805,1,4.7µF,C98195
C17,0805,1,1µF,C1791
C18,0805,1,22nF,C1729
C19,0805,1,150pF,C2319426
C21,CP_Elec_8x10,1,220µF,C136294
C22,0805,1,10nF,C1710
"C26, C9",0805,2,10µF,C7469956
C33,0805,1,4.7uF,C98195
C34,0805,1,22uF,C602037
D1,0805,1,LED_Small,C84260
F1,0805,1,Polyfuse_Small,C2840556
"FB2, FB3",0805,2,600Ω @ 100MHz,C21519
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C2988369
J3,SMA_Amphenol_132289_EdgeMount,1,Conn_Coaxial,C20415780
L1,L_10.4x10.4_H4.8,1,2.2µH,C10164
L2,L_10.4x10.4_H4.8,1,4.7uH,C19633496
"Q1, Q2, Q3, Q4, Q5",SOT-23,5,AO3400A,C20917
"Q6, Q7",SOT-23,2,IRLML6244,C5364311
R1,0805,1,32K,C6460768
R10,0805,1,2.2K,C441982
R11,0805,1,137K,C203741
R12,0805,1,26.7K,C153307
"R13, R14, R18, R19, R21, R22, R23, R3",0805,8,10K,C543567
R15,0805,1,150,C2933324
R17,0805,1,22R,C441970
R2,0805,1,100K,C441992
R20,0805,1,1К,C844939
"R4, R5",0805,2,5.1K,C491151
R6,0805,1,1K,C844939
"R7, R8",1206,2,10m,C308574
R9,0805,1,10R,C844598
"SW1, SW2, SW3",SW_SPST_PTS645Sx43SMTR92,3,SW_Push,C2834918
U1,SOT-23-6_Handsoldering,1,HY2120-CB,C116509
U2,WSON-10-1EP_2x3mm_P0.5mm_EP0.84x2.4mm_ThermalVias,1,TPS62175DQC,C32097
U3,Texas_RSN_WQFN-32-1EP_4x4mm_P0.4mm_EP2.8x2.8mm_ThermalVias,1,BQ25703ARSNR,C188229
U4,RX5808,1,RX5808,
U5,TQFP-32_7x7mm_P0.8mm,1,ATmega328P-A,C14877
U6,QFN-28-1EP_5x5mm_P0.5mm_EP3.1x3.1mm_ThermalVias,1,CP2102N-A02-GQFN28,C964632
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,C7275095
